TapeAdvanceTime,k1,k2,k3,k4,k5,k6,k7,Rsq1,Rsq2,Rsq3,Rsq4,Rsq5,Rsq6,Rsq7
2018-02-16 11:42:00,0.00301243377395,0.00305812995756,0.00289122900866,0.00271952801588,0.00306106157885,0.00252038237843,0.00221611663603,0.684943489303,0.579565847208,0.573773756031,0.508441285375,0.3710266439,0.280467028744,0.173360251245
2018-02-16 21:48:00,0.00301243377395,0.00305812995756,0.00289122900866,0.00271952801588,0.00306106157885,0.00252038237843,0.00221611663603,0.684943489303,0.579565847208,0.573773756031,0.508441285375,0.3710266439,0.280467028744,0.173360251245
2018-02-17 01:14:00,0.00301243377395,0.00305812995756,0.00289122900866,0.00271952801588,0.00306106157885,0.00252038237843,0.00221611663603,0.684943489303,0.579565847208,0.573773756031,0.508441285375,0.3710266439,0.280467028744,0.173360251245
2018-02-17 14:40:00,0.00406262474885,0.00438684632376,0.00435421819987,0.00439890344283,0.00491200464305,0.0051462576269,0.00532483973021,0.834089141964,0.777940136867,0.802518979294,0.788069927265,0.635933993733,0.684704060555,0.581935584871
2018-02-18 01:42:00,0.00555982412304,0.00622504572854,0.00636632581797,0.00662100651863,0.00747595259592,0.00852677770321,0.00942668938397,0.83913355896,0.761287953542,0.792767799357,0.803890313362,0.640129697041,0.75405712005,0.648603780731
2018-02-18 15:22:00,0.0031745902462,0.00345586029436,0.00343331019747,0.00343927830768,0.00432101308646,0.00341849542804,0.00419127105728,0.590297729939,0.542256330877,0.435118256097,0.446251821039,0.423060528229,0.210913514093,0.26909170458
2018-02-19 03:52:00,0.00192430404281,0.00169012060179,0.00164352940019,0.00146832792433,0.00127245593849,0.000346099334921,0.000230369515366,0.253987559274,0.131866775151,0.0986538642343,0.0822422476667,0.0421959031834,0.00180995966928,0.000748439452958
2018-02-19 16:22:00,0.00232113485377,0.00207981643917,0.00208945894416,0.00193832962579,0.00174510031467,0.00141055749762,0.00142530516897,0.194546968392,0.098439313208,0.0810884449543,0.0643924754361,0.0360134679877,0.0135040914398,0.0113088760554
2018-02-20 05:14:00,0.00161803810051,0.000967303166038,0.000780662878907,0.000469679948578,5.09095620857e-05,-0.000723386106425,-0.000888931233473,0.109116569091,0.0228913407787,0.013216581728,0.00409910892251,3.60994666154e-05,0.00290052670165,0.00427455263518
2018-02-20 16:02:00,0.00193852708148,0.001344476022,0.00121040267632,0.000993397552734,0.000592196758628,-0.000328252493087,-0.000319899379847,0.170626522263,0.0495493801726,0.0360857576232,0.0211858668024,0.00583750606051,0.000640458076463,0.000619154525469
2018-02-21 12:32:00,0.00191867406856,0.00109359627252,0.000955409841189,0.00057590115551,0.000137336650983,-0.00108245675312,-0.0011619160731,0.11928960248,0.0239170479572,0.0154761575039,0.00479234246247,0.000210219542743,0.00459564228013,0.00550679407238
2018-02-22 12:40:00,0.000104755445337,-0.00147150525614,-0.00201906778648,-0.0027708098144,-0.00362777314675,-0.0068403858798,-0.00804292344237,0.000715925064373,0.0538253182988,0.0968744381497,0.14376408742,0.187436119691,0.153724357316,0.277053340515
2018-02-23 23:34:00,0.00199528679626,0.00146714033716,0.00136068289394,0.00104216173654,0.000667691421818,-0.000911333198783,-0.00159605996498,0.373385907342,0.15911445247,0.113600131766,0.0485986716028,0.0186304075717,0.0166672148434,0.0369851318733
2018-02-24 17:52:00,0.00355008286721,0.00358982399213,0.00379632832424,0.00385047393675,0.00387250782434,0.00448170718587,0.00451369431419,0.513288160872,0.382324784768,0.341709997666,0.295538742454,0.275736954201,0.189613183851,0.157740683018
2018-02-25 08:44:00,0.00292712338371,0.00289789615238,0.00296910308863,0.00309840607906,0.00296629997147,0.003325405837,0.00336556627451,0.29812031759,0.180218069762,0.146478996989,0.112630657679,0.10650480268,0.0590334422739,0.0434351682404
2018-02-25 21:16:00,0.00236382830165,0.00219625809219,0.00214604781411,0.00212214178317,0.00194702873945,0.00196573743267,0.00193333264525,0.281468607519,0.145052006714,0.111797392017,0.0736260002419,0.062903580671,0.0284169702395,0.0186022973328
2018-02-26 19:12:00,0.00236382830165,0.00219625809219,0.00214604781411,0.00212214178317,0.00194702873945,0.00196573743267,0.00193333264525,0.281468607519,0.145052006714,0.111797392017,0.0736260002419,0.062903580671,0.0284169702395,0.0186022973328
2018-02-27 14:40:00,0.00236382830165,0.00219625809219,0.00214604781411,0.00212214178317,0.00194702873945,0.00196573743267,0.00193333264525,0.281468607519,0.145052006714,0.111797392017,0.0736260002419,0.062903580671,0.0284169702395,0.0186022973328
