Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2018-02-16 13:32:00,2600.75427404,2636.71726762,2510.37856803,2385.02704251,2493.95470315,2414.33690763,2258.69138599
2018-02-16 13:34:00,2433.25267637,2493.91092199,2579.88576446,2725.87637314,2815.64530256,2688.40842177,2482.4612106
2018-02-16 13:36:00,2867.1880929,2936.54677006,2754.12904501,2816.85592,2994.51777641,2813.83017868,2867.15834782
2018-02-16 13:38:00,2836.94611258,3187.89762332,3107.6243632,3280.51276134,3521.76083355,3565.46511766,3772.66397015
2018-02-16 13:40:00,3778.87428043,3621.29421526,3536.30148803,3722.28831854,3805.97481956,3302.06903123,3060.38284852
2018-02-16 13:42:00,3151.6491024,3248.06747879,3312.10202376,3183.38317259,2992.68454426,3031.06550735,2850.53043501
2018-02-16 13:44:00,3161.31050184,3281.80474189,3146.64324184,3386.89504543,3322.66720723,3340.32939366,3198.26839386
2018-02-16 13:46:00,3235.58994534,3401.71176273,3313.19908984,3120.26333354,3549.3559541,2861.02852389,2918.57741042
2018-02-16 13:48:00,3067.93309514,3141.88890285,3122.96211769,3276.58593817,2986.25566274,3241.52255674,3035.74012615
2018-02-16 13:50:00,3008.21728115,3151.74139707,3011.98977418,3002.99880571,3175.8686592,3123.5341176,2977.46030092
2018-02-16 13:52:00,3143.85605545,3215.59290614,3137.18069026,3135.08529615,3172.00462858,2901.21471016,2882.13084827
2018-02-16 13:54:00,3143.57622729,3094.89712421,3128.37291399,3195.66045028,3401.23102789,3167.72333156,3099.07745126
2018-02-16 13:56:00,3012.1683096,3074.36907954,2851.68342132,2988.92856171,2859.34144732,2707.77253583,2558.63965526
2018-02-16 13:58:00,2907.8537062,3040.78176931,3079.41221425,3100.11706518,3190.87234305,3130.30124172,2966.76132807
2018-02-16 14:00:00,3141.11481117,3034.23823274,2853.51616686,2840.05461128,2822.34488465,2622.39727068,2570.889609
2018-02-16 14:02:00,2775.91684594,3002.66079842,2898.70085408,2969.18879261,3019.95821483,2923.23515212,2833.20040349
2018-02-16 14:04:00,3072.41145262,3064.36404509,3056.43152124,3134.66706901,3290.00534411,3803.7744269,4459.31410028
2018-02-16 14:06:00,4905.32164866,5220.20627676,5194.27432272,5402.60577894,5442.47930783,4344.2941175,3540.75293601
2018-02-16 14:08:00,3450.10461209,3393.10128031,3070.24754981,3056.33817023,3101.70184384,3114.60250035,3000.26750755
2018-02-16 14:10:00,3117.9516828,3105.8982638,3091.28044591,3055.48838173,3276.01901517,3331.6142354,3285.09389295
2018-02-16 14:12:00,3574.14390723,3610.15168196,3472.62152198,3602.67739664,3368.92594954,3102.14671487,3087.4626923
2018-02-16 14:14:00,3242.47384689,3320.54994518,3081.07042258,3095.71052231,3212.13944026,2910.72444948,2651.19408863
2018-02-16 14:16:00,2794.53111405,2833.1335142,2879.16015646,2912.65632021,2937.94947141,2687.93660278,2543.77238776
2018-02-16 14:18:00,2472.50179689,2736.21323587,2626.07560407,2743.06708011,2976.22090428,2787.63821445,2686.13537323
2018-02-16 14:20:00,3008.62464887,2885.54599145,2917.22683089,2831.37713408,2649.10426143,2611.28066422,2616.87928812
2018-02-16 14:22:00,2911.49496238,2889.45399402,2750.18560313,2792.80718813,2984.51691387,2795.15787596,2662.27240036
2018-02-16 14:24:00,2790.41829208,2974.57544713,2845.31273137,2941.14631864,2908.75465877,2709.05989314,2738.71415233
2018-02-16 14:26:00,3144.98650029,3092.89634082,2951.48216406,3013.85479927,3106.15823798,3005.43280964,2798.6882809
2018-02-16 14:28:00,2880.23903393,2811.14590881,2773.21265322,2772.07676441,2987.70188744,2970.40488192,2917.70947773
2018-02-16 14:30:00,3131.15520427,3352.22930876,3311.73058366,3311.62576355,3324.5229148,2996.71370408,2986.14957195
2018-02-16 14:32:00,3068.54612853,3099.03198909,2909.25186666,3007.72312727,3024.2571497,2926.24047339,2808.21444992
2018-02-16 14:34:00,3014.75291698,3056.96008614,3026.72865263,3088.25442195,3242.75691939,3228.56101968,3234.0304362
2018-02-16 14:36:00,3278.20600493,3254.45056624,3305.29506197,3319.25836525,3210.94003874,2975.86884673,2759.74346023
2018-02-16 14:38:00,3155.73111643,3161.69512215,3019.14608655,2829.86180445,3137.20415477,3017.86130777,2946.35801368
2018-02-16 14:40:00,3021.46552294,3276.76433029,3165.39327044,3496.27562231,3418.61088621,3252.88343343,3086.51197578
2018-02-16 14:42:00,3314.23000028,3229.28895331,3035.34574296,3388.39464932,3182.84749801,2850.62513223,2716.3453783
2018-02-16 14:44:00,2867.78061839,3076.2780866,3016.16692737,2771.95138683,3000.32570738,3074.2260704,3081.68393028
2018-02-16 14:46:00,3103.98519802,3128.1957062,3055.82905652,3130.48252988,3174.54664239,2892.8630929,2600.10816228
2018-02-16 14:48:00,2688.97409412,3010.19143905,2881.54693757,3001.27039744,3000.32402085,2793.80915951,2721.50453125
2018-02-16 14:50:00,2830.76489213,2567.08076415,2599.78322269,2685.11151523,2695.43711625,2602.66217301,2727.70745079
2018-02-16 14:52:00,2860.10690387,2776.26713307,2832.42986464,2769.99541588,2931.02750313,2734.38980263,2650.75164161
2018-02-16 14:54:00,2678.38071397,2934.77620588,2788.73484833,2944.75561952,2896.3633,2852.69300195,2764.01601254
2018-02-16 14:56:00,2753.19236859,3120.54999281,3013.33549999,2959.85921143,3039.76008225,2817.30576161,2688.08319435
2018-02-16 14:58:00,2865.94173823,2788.7030625,2735.22722905,2800.73172904,2835.59450956,2883.41435109,2784.80021961
2018-02-16 15:00:00,2732.83047681,3029.24295336,2939.19888679,3079.8344277,3194.16161941,2971.60612017,2965.95101265
2018-02-16 15:02:00,3292.94839749,3254.82947574,3231.54612248,3298.88262353,3583.84869261,3418.37268394,3338.98241762
2018-02-16 15:04:00,3375.2246502,3543.88272991,3432.36693757,3593.32944589,3631.24112187,3396.01634031,3340.4894326
2018-02-16 15:06:00,3271.51157272,3524.34269917,3445.56002455,3433.55207394,3516.15122412,3394.59438464,3212.72309606
2018-02-16 15:08:00,3642.88928296,3673.15153993,3624.03244363,3604.81408619,3714.26149989,3693.42153024,3517.63370845
2018-02-16 15:10:00,3581.05334896,3733.63986638,3514.09784146,3722.11942346,3629.4925887,3356.18754236,3351.28266228
2018-02-16 15:12:00,3255.77444711,3483.71886664,3387.30103682,3285.65085225,3651.00662759,3432.48412508,3516.70396276
2018-02-16 15:14:00,3841.1892713,3746.64747266,3682.10168599,3902.63234368,3726.8890171,3596.14176099,3312.58461625
2018-02-16 15:16:00,3641.81000083,3745.41874041,3622.79319743,3655.41467927,3713.74053044,3585.43871121,3640.07646395
2018-02-16 15:18:00,3695.5033511,3788.2421025,3682.88396113,3700.05765423,3952.20834285,3615.77398431,3471.43489113
